Unnamed: 0,LISTING_URL,BRAND,PRICE,DEPRE_YEARLY,REG_DATE,MILEAGE_KM,MANUFACTURED_YEAR,ROAD_TAX_YEARLY,TRANSMISSION,DEREG_VALUE_FROM_SCRAPE_DATE,SCRAPE_DATE,OMV,ARF,COE_FROM_SCRAPE_DATE,DAYS_OF_COE_LEFT,ENGINE_CAPACITY_CC,CURB_WEIGHT_KG,NO_OF_OWNERS,VEHICLE_TYPE,CAR_AGE,REG_MONTH
3390,https://www.sgcarmart.com/used_cars/info.php?ID=1329978&DL=3126&utm_content=SLeligible,Porsche Cayenne 3.6A Tip Panoramic Roof,127777.0,18060.0,29-Feb-12,103800.0,2011,4319.0,Auto,41133.0,3/9/2024,85392.0,85392.0,58124.0,2562,3598.0,2105.0,5,SUV,12,2
3392,https://www.sgcarmart.com/used_cars/info.php?ID=1315376&DL=2339,Honda Accord 2.4A,33800.0,13220.0,9-Oct-15,98000.0,2014,1630.0,Auto,27809.0,3/9/2024,33305.0,38627.0,61300.0,400,2356.0,1570.0,4,Luxury Sedan,9,10
3394,https://www.sgcarmart.com/used_cars/info.php?ID=1330513&DL=1000&utm_content=SLeligible,BMW 1 Series 135i Coupe,99999.0,13960.0,30-Mar-12,145000.0,2011,3071.0,Auto,43390.0,3/9/2024,43612.0,43612.0,60586.0,2593,2979.0,1470.0,4,Sports Car,12,3
3396,https://www.sgcarmart.com/used_cars/info.php?ID=1331029&DL=3498,Volkswagen Tiguan 2.0A TSI Elegance,160800.0,19430.0,28-Feb-22,28000.0,2021,1194.0,Auto,93041.0,3/9/2024,27584.0,30618.0,93590.0,2709,1984.0,1678.0,1,SUV,2,2
3398,https://www.sgcarmart.com/used_cars/info.php?ID=1328807&DL=4462,Honda Shuttle 1.5A G,25800.0,14030.0,15-Apr-16,155000.0,2016,682.0,Auto,10842.0,3/9/2024,16385.0,6385.0,45504.0,576,1496.0,1130.0,5,Stationwagon,8,4
3399,https://www.sgcarmart.com/used_cars/info.php?ID=1288687&DL=1028,Honda Jazz 1.5A,22800.0,15810.0,12-Oct-15,102000.0,2015,684.0,Auto,11996.0,3/9/2024,15689.0,10689.0,55399.0,403,1498.0,1046.0,2,Hatchback,9,10
3400,https://www.sgcarmart.com/used_cars/info.php?ID=1327675&DL=3333,BMW 3 Series 320i Sport,56800.0,23140.0,3-May-16,131000.0,2016,1210.0,Auto,28102.0,3/9/2024,35537.0,36752.0,47510.0,584,1998.0,1450.0,2,Luxury Sedan,8,5
3402,https://www.sgcarmart.com/used_cars/info.php?ID=1231025&DL=4733&utm_content=SLeligible,Mitsubishi Attrage 1.2A Sports,48800.0,11410.0,24-Sep-18,79000.0,2018,506.0,Auto,15757.0,3/9/2024,13849.0,5000.0,30209.0,1460,1193.0,940.0,2,Mid-Sized Sedan,6,9
3403,https://www.sgcarmart.com/used_cars/info.php?ID=1331076&DL=2296,Mercedes-Benz GLA-Class GLA180,39800.0,20160.0,5-Jan-16,84000.0,2015,740.0,Auto,21786.0,3/9/2024,27630.0,25682.0,57301.0,486,1595.0,1435.0,2,SUV,8,1
3404,https://www.sgcarmart.com/used_cars/info.php?ID=1331326&DL=4659,Porsche 718 Cayman 2.0A PDK,368888.0,42070.0,5-Apr-22,30800.0,2022,1200.0,Auto,149506.0,3/9/2024,70710.0,99278.0,98889.0,2766,1988.0,1365.0,1,Sports Car,2,4
3405,https://www.sgcarmart.com/used_cars/info.php?ID=1309588&DL=3758&utm_content=SLeligible,Audi A5 Sportback 2.0A TFSI Quattro Sunroof,80800.0,13480.0,3-Jan-11,113000.0,2010,1672.0,Auto,19730.0,3/9/2024,46434.0,46434.0,32914.0,1863,1984.0,1615.0,5,Luxury Sedan,13,1
3407,https://www.sgcarmart.com/used_cars/info.php?ID=1322764&DL=2318&utm_content=SLeligible,Audi Q5 2.0A TFSI Quattro,63888.0,18610.0,30-Dec-16,65888.0,2016,1194.0,Auto,36692.0,3/9/2024,35276.0,41387.0,51109.0,826,1984.0,1845.0,1,SUV,8,12
3408,https://www.sgcarmart.com/used_cars/info.php?ID=1324364&DL=2175&utm_content=SLeligible,Maserati GranCabrio Sport 4.7A,320800.0,38020.0,6-Nov-19,18875.0,2019,5030.0,Auto,207776.0,3/9/2024,153355.0,248039.0,42020.0,1887,4691.0,1980.0,2,Sports Car,5,11
3409,https://www.sgcarmart.com/used_cars/info.php?ID=1324485&DL=1027,Honda Jazz 1.5A RS,31888.0,14330.0,29-Jun-16,85000.0,2016,684.0,Auto,16198.0,3/9/2024,16717.0,11717.0,53694.0,640,1498.0,1046.0,1,Hatchback,8,6
3410,https://www.sgcarmart.com/used_cars/info.php?ID=1326428&DL=4508,Honda Civic 1.6A VTi,43800.0,14560.0,27-Dec-16,105000.0,2016,742.0,Auto,24478.0,3/9/2024,20173.0,20243.0,53334.0,823,1597.0,1249.0,2,Mid-Sized Sedan,8,12
3411,https://www.sgcarmart.com/used_cars/info.php?ID=1329297&DL=4323,Ford Focus Titanium 1.6A,30800.0,15230.0,26-Feb-16,101300.0,2015,742.0,Auto,15597.0,3/9/2024,16522.0,16522.0,44001.0,517,1596.0,1490.0,1,Mid-Sized Sedan,8,2
3412,https://www.sgcarmart.com/used_cars/info.php?ID=1311636&DL=1070&utm_content=SLeligible,Mazda 2 1.5A SP,32000.0,12770.0,11-Oct-16,112000.0,2016,682.0,Auto,17012.0,3/9/2024,15314.0,10314.0,51506.0,767,1496.0,1079.0,3,Mid-Sized Sedan,8,10
3415,https://www.sgcarmart.com/used_cars/info.php?ID=1328940&DL=4354,Kia Cerato 1.6A SX Sunroof,60800.0,13000.0,28-Aug-18,100000.0,2018,738.0,Auto,25167.0,3/9/2024,18005.0,18005.0,33798.0,1129,1591.0,1287.0,2,Mid-Sized Sedan,6,8
3416,https://www.sgcarmart.com/used_cars/info.php?ID=1325072&DL=1277,Toyota Estima 2.4A Aeras Moonroof,36888.0,17820.0,21-Oct-15,133200.0,2015,1638.0,Auto,25020.0,3/9/2024,29677.0,33548.0,58190.0,402,2362.0,1740.0,1,MPV,9,10
3417,https://www.sgcarmart.com/used_cars/info.php?ID=1308889&DL=1079&utm_content=SLeligible,Volvo XC60 T5 2.0A,44800.0,18140.0,8-Jan-16,122200.0,2015,1176.0,Auto,30655.0,3/9/2024,34851.0,40792.0,61103.0,489,1969.0,1722.0,1,SUV,8,1
3418,https://www.sgcarmart.com/used_cars/info.php?ID=1329070&DL=1024,Honda Shuttle 1.5A G Honda Sensing,106800.0,14300.0,3-Nov-21,38000.0,2019,682.0,Auto,40776.0,3/9/2024,22621.0,8670.0,47821.0,2585,1496.0,1130.0,2,Stationwagon,3,11
3420,https://www.sgcarmart.com/used_cars/info.php?ID=1332287&DL=4228,Honda Jazz 1.5A RS,43700.0,14520.0,29-Mar-17,64000.0,2016,684.0,Auto,20770.0,3/9/2024,17910.0,12910.0,50789.0,915,1498.0,1046.0,1,Hatchback,7,3
3421,https://www.sgcarmart.com/used_cars/info.php?ID=1310035&DL=4691,Kia Optima K5 2.0A,15500.0,12490.0,25-Mar-11,177000.0,2010,1694.0,Auto,4966.0,3/9/2024,17245.0,17245.0,20007.0,432,1998.0,1529.0,2,Luxury Sedan,13,3
