,LISTING_URL,BRAND,PRICE,DEPRE_YEARLY,REG_DATE,MILEAGE_KM,MANUFACTURED_YEAR,ROAD_TAX_YEARLY,TRANSMISSION,DEREG_VALUE_FROM_SCRAPE_DATE,SCRAPE_DATE,OMV,ARF,COE_FROM_SCRAPE_DATE,DAYS_OF_COE_LEFT,ENGINE_CAPACITY_CC,CURB_WEIGHT_KG,NO_OF_OWNERS,VEHICLE_TYPE
4767,https://www.sgcarmart.com/used_cars/info.php?ID=1331135&DL=3597,Volkswagen Golf 1.4A TSI Highline Sunroof,80000,14670,22-Mar-19,80954,2018,624,Auto,30554,3/9/2024,24682,26555,26309,1648,1395,1270,1,Hatchback
4768,https://www.sgcarmart.com/used_cars/info.php?ID=1304766&DL=3742&utm_content=SLeligible,Mercedes-Benz E-Class E220d,79800,22630,6-Dec-16,109000,Luxury,1734,2016,47156,3/9/2024,,,56000,822,1950,1680,2,
4769,https://www.sgcarmart.com/used_cars/info.php?ID=1324409&DL=4461&utm_content=SLeligible,Volkswagen Jetta 1.4A TSI Highline Sunroof,36500,12300,21-Sep-16,105000,2015,620,Auto,24291,3/9/2024,21889,22645,52301,737,1390,1417,3,Mid-Sized Sedan
4770,https://www.sgcarmart.com/used_cars/info.php?ID=1291265&DL=3003&utm_content=SLeligible,Rolls-Royce Phantom,1380,207160,14-Mar-19,16188,2018,8250,Auto,633890,3/9/2024,507092,884766,32909,1640,6749,2610,3,Luxury Sedan
4771,https://www.sgcarmart.com/used_cars/info.php?ID=1325904&DL=3269,Mercedes-Benz E-Class E200 Avantgarde,123888,22040,17-Sep-18,80820,2018,1202,Auto,61735,3/9/2024,54295,69731,32001,1463,1991,1605,2,Luxury Sedan
4772,https://www.sgcarmart.com/used_cars/info.php?ID=1330275&DL=2934,Mercedes-Benz C-Class C180 AMG Line Sunroof,39955,27510,14-May-15,,2015,740,Auto,26345,3/9/2024,42800,41920,78001,240,1595,1425,4,Luxury Sedan
4773,https://www.sgcarmart.com/used_cars/info.php?ID=1330223&DL=1034&utm_content=SLeligible,Mercedes-Benz B-Class B180,71800,12290,7-Jul-10,168221,2010,1290,Auto,19607,3/9/2024,29005,29005,33568,1828,1699,1285,6,Hatchback
4774,https://www.sgcarmart.com/used_cars/info.php?ID=1330017&DL=4031,Mazda 3 1.5A Sunroof,46800,11810,12-Jan-18,107000,2017,682,Auto,23659,3/9/2024,14299,14299,42801,1223,1496,1310,3,Mid-Sized Sedan
4775,https://www.sgcarmart.com/used_cars/info.php?ID=1292130&DL=4108&utm_content=SLeligible,Mercedes-Benz S-Class S320L,130788,28690,25-Nov-16,96000,2016,2382,Auto,93025,3/9/2024,89948,133907,57002,791,2996,1940,4,Luxury Sedan
4776,https://www.sgcarmart.com/used_cars/info.php?ID=1309645&DL=3758&utm_content=SLeligible,BMW 2 Series 216i Gran Tourer Luxury,75800,15010,21-Jun-18,80000,2018,684,Auto,37415,3/9/2024,32596,37635,34110,1372,1499,1480,2,MPV
4777,https://www.sgcarmart.com/used_cars/info.php?ID=1320777&DL=1344,Subaru Forester 2.0i-L Sunroof,22800,13640,22-Oct-15,,2015,1208,Auto,14888,3/9/2024,14726,14726,60001,403,1995,1566,1,SUV
4778,https://www.sgcarmart.com/used_cars/info.php?ID=1306043&DL=4473&utm_content=SLeligible,Lexus IS Hybrid IS300h Executive,108888,21130,5-Oct-18,82000,Luxury,1792,2018,44303,3/9/2024,,,31301,1491,2494,1635,1,
4779,https://www.sgcarmart.com/used_cars/info.php?ID=1229853&DL=1000&utm_content=SLeligible,Lexus GS250,149800,17650,27-Feb-13,80000,2012,2160,Auto,86698,3/9/2024,49007,49007,108373,3073,2500,1640,3,Luxury Sedan
4780,https://www.sgcarmart.com/used_cars/info.php?ID=1309723&DL=2140&utm_content=SLeligible,Hyundai i30 1.4A T-GDi DCT Turbo,76800,13820,22-Jul-19,110000,2019,600,Auto,26044,3/9/2024,18607,18607,26667,1468,1353,1240,1,Hatchback
4781,https://www.sgcarmart.com/used_cars/info.php?ID=1309759&DL=4386&utm_content=SLeligible,Mercedes-Benz Maybach S-Class S580 Mild Hybrid 4MATIC,828000,79350,14-Oct-22,22000,Luxury,3922,2022,362591,3/9/2024,,,108051,2950,3982,2200,2,
4782,https://www.sgcarmart.com/used_cars/info.php?ID=1284466&DL=2469&utm_content=SLeligible,Mercedes-Benz CLA-Class CLA200 AMG Line,115800,11570,1-Apr-14,141010,2014,814,Auto,,3/9/2024,28666,22133,,0,1595,1430,3,Luxury Sedan
4783,https://www.sgcarmart.com/used_cars/info.php?ID=1329028&DL=1000&utm_content=SLeligible,Mercedes-Benz GLS-Class GLS400 4MATIC,157000,41260,3-Oct-16,122000,2016,2382,Auto,97538,3/9/2024,94662,142392,58201,739,2996,2425,3,SUV
4784,https://www.sgcarmart.com/used_cars/info.php?ID=1332286&DL=3142,Toyota Noah Hybrid 1.8A X,165800,19710,5-Jul-22,33000,MPV,974,2021,94491,3/9/2024,,,98889,2556,1797,1610,2,
4785,https://www.sgcarmart.com/used_cars/info.php?ID=1305839&DL=4454&utm_content=SLeligible,Mazda CX-8 2.5A Luxury 7-Seater,172800,21840,30-Sep-21,18511,2021,1786,Auto,75799,3/9/2024,31882,36635,68310,2561,2488,1809,1,SUV
4786,https://www.sgcarmart.com/used_cars/info.php?ID=1323231&DL=4605&utm_content=SLeligible,Suzuki Swift Sport 1.6M,86288,9960,30-May-13,141000,2012,883,Manual,69342,3/9/2024,12298,7298,86677,3137,1586,1070,5,Hatchback
4787,https://www.sgcarmart.com/used_cars/info.php?ID=1330010&DL=2061,Honda Odyssey 2.4A EX-S,80000,18990,6-Feb-18,234000,2017,1630,Auto,38041,3/9/2024,27069,29897,54334,1247,2356,1776,1,MPV
4788,https://www.sgcarmart.com/used_cars/info.php?ID=1331292&DL=3908&utm_content=SLeligible,Toyota Corolla Altis 1.6A,39800,12600,2-Nov-12,,2012,890,Auto,26050,3/9/2024,14944,14944,41233,1133,1598,1195,4,Mid-Sized Sedan
4789,https://www.sgcarmart.com/used_cars/info.php?ID=1332400&DL=1034&utm_content=SLeligible,Audi A4 1.8A TFSI MU S-Line,58800,13670,22-Dec-08,161226,2008,1464,Auto,13572,3/9/2024,38943,38943,31553,1558,1798,1450,3,Luxury Sedan
4790,https://www.sgcarmart.com/used_cars/info.php?ID=1322762&DL=2473&utm_content=SLeligible,Nissan Note 1.2A,41500,12480,20-Oct-17,87002,2017,508,Auto,17873,3/9/2024,13758,5000,46778,1131,1198,1048,1,Hatchback
4791,https://www.sgcarmart.com/used_cars/info.php?ID=1324800&DL=2799&utm_content=SLeligible,Honda Jazz 1.5A RS,55800,11150,20-Aug-14,91000,2014,684,Auto,,3/9/2024,16383,6383,,1825,1498,1046,2,Hatchback
4792,https://www.sgcarmart.com/used_cars/info.php?ID=1311477&DL=3414&utm_content=SLeligible,Lexus UX Hybrid UX250h Executive,147500,20490,15-Jan-21,73000,SUV,1198,2020,56930,3/9/2024,,,49300,2311,1987,1570,1,
4793,https://www.sgcarmart.com/used_cars/info.php?ID=1330159&DL=3597,BMW X1 sDrive20i M-Sport,63000,17100,23-Feb-17,139264,2016,1210,Auto,38000,3/9/2024,35359,41503,53001,889,1998,1485,2,SUV
